title,year,director,actor1,actor2,genre,rating,country,releasedate
Waking Dreams,2007,Deepika Daggubati,Sarath Babu,Maurizio Rasti,Comedy,7.6,USA,2-Jun-07
Quadroon,1971,Herbert Janneke Jr.,Kathy McKee,Tim Kincaid,Drama,6.2,USA,1971
Turistas,2006,John Stockwell,Josh Duhamel,Melissa George,Horror,5.4,USA,1-Dec-06
Daisy Winters,2017,Beth LaMure,Brooke Shields,Iwan Rheon,Drama,6.8,USA,5-Oct-17
Shiloh,1996,Dale Rosenbloom,Blake Heron,Michael Moriarty,Drama,6.4,USA,25-Apr-97
Leela,2002,Somnath Sen,Dimple Kapadia,Vinod Khanna,Drama,6.9,USA,1-Nov-02
OmertÃ ,2017,Colten Dietz,Derek Solorsano,Edward Westerfield,Crime,6.4,USA,1-Jan-17
Elf-Man,2012,Ethan Wiley,Jason 'Wee Man' AcuÃ±a,Jeffrey Combs,Comedy,3.6,USA,4-Dec-12
Interstate 84,2000,Ross Partridge,Kevin Dillon,John Littlefield,Drama,5.1,USA,12-Sep-00
Wedding Palace,2013,None,Brian Tee,Hye-jeong Kang,Comedy,6.1,USA,27-Sep-13
Coin Heist,2017,Emily Hagins,Alex Saxon,Alexis G. Zall,Action,4.8,USA,6-Jan-17
The Winter of 1849,1976,None,Ken Scudder,Andrea True,Adult,4.8,USA,NA
Prehysteria!,1993,Charles Band,Brett Cullen,Colleen Morris,Adventure,4,USA,24-Sep-93
I Am That Girl,2008,B. Hayward Randall,Gabriel Byer,Cooper Barnes,Comedy,8.2,USA,2009
The China Syndrome,1979,James Bridges,Jane Fonda,Jack Lemmon,Drama,7.4,USA,16-Mar-79
6:66 PM,2017,None,Jim Klock,Chad Ridgely,Comedy,6.4,USA,4-Nov-17
Seven Days Away,2013,Josiah David Warren,Gary Cairns,David DeLao,Drama,7.1,USA,29-Mar-13
Defense Play,1988,None,David Oliver,Susan Ursitti,Action,4.8,USA,Sep-88
The Bourne Legacy,2012,Tony Gilroy,Jeremy Renner,Rachel Weisz,Action,6.7,USA,10-Aug-12
Shadows of the Dead,2004,Carl Lindbergh,Jonathan Flanigan,Beverly Hynds,Drama,3.5,USA,NA
The Substitute,1996,Robert Mandel,Tom Berenger,Raymond Cruz,Action,5.9,USA,19-Apr-96
P-51 Dragon Fighter,2016,Mark Atkins,Scott Martin,Stephanie Beran,Action,2.8,USA,19-Aug-16
Maria's Lovers,1984,Andrey Konchalovskiy,Nastassja Kinski,John Savage,Drama,6.7,USA,Jan-85
Will to Power,2008,None,David Rountree,Chris Moir,Drama,7.2,USA,31-Oct-08
Mask,1985,Peter Bogdanovich,Cher,Eric Stoltz,Biography,7.2,USA,22-Mar-85
Black Valley Girls,1986,Scotty Fox,Peter North,Taffy,Adult,5.2,USA,8-Oct-86
The Video Craze,2013,None,Nathan Barnatt,Dave Danzara,Biography,6.6,USA,13-Jul-13
Long Jeanne Silver,1977,Alex de Renzy,Joey Silvera,Paul Thomas,Adult,5.4,USA,22-Apr-77
Footprints,2011,Jim Huggins,Susan Buttrick,Alexa Cahill,Drama,6.3,USA,Sep-11
Waiting for Mo,1996,Zaki Gordon,Chris Hebert,Stephanie Buxbaum,Comedy,6.4,USA,NA
Two If by Sea,1996,Bill Bennett,Sandra Bullock,Denis Leary,Comedy,5.2,USA,12-Jan-96
USS Indianapolis: Men of Courage,2016,Mario Van Peebles,Nicolas Cage,Tom Sizemore,Action,5.2,USA,14-Oct-16
The Time Machine,2002,Simon Wells,Guy Pearce,Yancey Arias,Action,5.9,USA,8-Mar-02
The Weapons of Death,1981,Paul Kyriazi,Gerald Okamura,Nancy Lee,Action,4.6,USA,24-Jul-81
The Gershwin's 'Porgy and Bess',2013,Frank Zamacona,Michael Bragg,Alteouise DeVaughn Austin,Musical,8.5,USA,5-Mar-13
Prime of Your Life,2010,Kelly L. King,Brett Rice,Ryan Donowho,Comedy,4.9,USA,2010
Immortal Island,2011,Joe Knee,Christian Campbell,Brian Drolet,Adventure,5.7,USA,26-Mar-11
"Hey, Let's Twist!",1961,Greg Garrison,Joey Dee,The Starliters,Musical,4.7,USA,31-Dec-61
Four Seasons,2014,Christopher Nolen,Keith Robinson,Christian Keyes,Comedy,5.9,USA,1-Apr-14
CXL,2012,None,Cole Alexander Smith,Lisa Greyson,Comedy,6.8,USA,11-Nov-12
Perfect Strangers,1984,Larry Cohen,Anne Carlisle,Brad Rijn,Crime,5.5,USA,Nov-84
The Bumblebee Flies Anyway,1999,Martin Duffy,Janet Paparazzo,Elijah Wood,Drama,6.4,USA,1-Jan-00
The Ringer,2005,None,Johnny Knoxville,Katherine Heigl,Comedy,5.8,USA,23-Dec-05
Star Trek V: The Final Frontier,1989,None,William Shatner,Leonard Nimoy,Action,5.4,USA,9-Jun-89
Love After School,1971,None,Sunny Boyd,Fran Carlstadt,Adult,5.1,USA,1971
Tiburon,2013,None,Christopher Behrens,Denise Behrens,Drama,8.3,USA,1-Jun-13
Pure Luck,1991,Nadia Tass,Martin Short,Danny Glover,Comedy,5.7,USA,9-Aug-91
The Dental Nurses,1975,Richard Mailer,David Book,Joan Devlon,Adult,6.1,USA,Feb-75
A Relative Thing,2003,Garrett Bennett,Marie Rubin,Ian Bell,Drama,7.6,USA,8-Nov-03
Tough,1974,Horace Jackson,Dion Gossett,Christopher Townes,Drama,6.2,USA,24-Jul-74
Tomorrowland,2015,Brad Bird,George Clooney,Britt Robertson,Action,6.5,USA,22-May-15
Judgment at Nuremberg,1961,Stanley Kramer,Spencer Tracy,Burt Lancaster,Drama,8.3,USA,18-Dec-61
Joshua Tree,2014,Li Cheng,Kim Trimbo,John Hoff,Drama,7.1,USA,Oct-14
"Blood, Guts, Bullets and Octane",1998,None,Mike Maas,Nick Fenske,Action,5.5,USA,16-Oct-98
Detective School Dropouts,1986,Filippo Ottoni,David Landsberg,Lorin Dreyfuss,Comedy,5.9,USA,8-Aug-86
Campfire Tales,1997,David Semel,Jay R. Ferguson,Christine Taylor,Horror,5.9,USA,22-Sep-98
The Expendables 3,2014,Patrick Hughes,Sylvester Stallone,Jason Statham,Action,6.1,USA,15-Aug-14
Bad Penny,1978,Chuck Vincent,Robert Kerman,Anna St. James,Adult,6.8,USA,4-Dec-78
"Oliver, Stoned.",2014,Tom Morris,Brea Grant,Pete Gardner,Comedy,4.2,USA,4-Aug-15
Somewhere in Indiana,2004,Don Boner,Bob Charlock,Katie Dawson,Drama,5.5,USA,3-Dec-04
Married to the Mob,1988,Jonathan Demme,Michelle Pfeiffer,Alec Baldwin,Comedy,6.1,USA,19-Aug-88
The Polar Express,2004,Robert Zemeckis,Tom Hanks,Chris Coppola,Adventure,6.6,USA,10-Nov-04
Beanstalk,1994,Michael Davis,J.D. Daniels,Amy Stoch,Comedy,4.7,USA,1-Aug-15
Who's Deal?,2008,Greg Young,Jimmy Flowers,Brad Gerry,Romance,6.6,USA,2-Aug-08
Baby It's You,1983,John Sayles,Rosanna Arquette,Vincent Spano,Comedy,6.4,USA,4-Mar-83
The Color of Water,2002,Reebie Sullivan,Christopher Atkins,John Campanello,Comedy,7,USA,NA
Hollywood Dreams,1994,Rafe M. Portilo,Kelly Jaye,Danny Smith,Comedy,2.5,USA,4-May-94
Better Luck Tomorrow,2002,Justin Lin,Parry Shen,Jason Tobin,Crime,7.2,USA,25-Apr-03
Charlie Wilson's War,2007,Mike Nichols,Tom Hanks,Julia Roberts,Biography,7.1,USA,21-Dec-07
"10,000 Days",2014,None,John Schneider,Peter Wingfield,Sci-Fi,2.6,USA,23-Nov-14
Sounder,1972,Martin Ritt,Cicely Tyson,Paul Winfield,Drama,7.6,USA,26-Apr-73
The Work and the Glory,2004,Russell Holt,Sam Hennings,Eric Johnson,Drama,6.9,USA,21-Jan-05
Grown Ups,2010,Dennis Dugan,Adam Sandler,Salma Hayek,Comedy,6,USA,25-Jun-10
Motherfucker: A Movie,2007,David Casey,Alan Cumming,James Drescher,Documentary,5.5,USA,NA
Insidious: Chapter 2,2013,James Wan,Patrick Wilson,Rose Byrne,Horror,6.6,USA,13-Sep-13
The Problem Y,2014,None,Damien D. Smith,David Casella,Comedy,8.4,USA,20-Nov-14
Quartzite's Fall: A Wilderness Tale,2001,Kristin Atwell,Peter Coyote,David W. Akin,Documentary,7,USA,11-Jan-01
Reincarnation,2004,Fei Wang,Julia Sun,Joshua Michaell,Fantasy,6,USA,1-Jan-04
A Whale of a Tale,1976,Ewing Miles Brown,William Shatner,Marty Allen,Comedy,7.6,USA,Feb-77
Blame,2017,Quinn Shephard,Trieste Kelly Dunn,Chris Messina,Drama,5.7,USA,5-Jan-18
Thugs vs. Dinosaurs,2017,None,Justin Silverman,Emily Youcis,Action,7.7,USA,24-Jun-17
Richard,1972,Lorees Yerby,Vivian Blaine,Imogene Bliss,Comedy,7.3,USA,17-Feb-75
The Brotherhood,1968,Martin Ritt,Kirk Douglas,Alex Cord,Crime,6,USA,1969
Copycat,2016,Todd Rodgers,CJ Wostal,Kevin Machate,Comedy,5.7,USA,30-Sep-16
Revolt of the Empire of the Apes,2017,Mark Polonia,James Carolus,Marie DeLorenzo,Action,4.6,USA,19-Jul-17
The Horizontal Lieutenant,1962,Richard Thorpe,Jim Hutton,Paula Prentiss,Comedy,5.9,USA,18-Apr-62
Hell at Heathridge,2013,Tyler Pina,Maggie Fernald,Jenna Kramer,Horror,5.9,USA,5-Dec-13
Lima: Breaking the Silence,1999,Menahem Golan,Joe Lara,Billy Drago,Crime,2.9,USA,30-Mar-99
The Messenger,2012,Kade Mendelowitz,Andrew Cassel,Jasen Chausse,Drama,8,USA,NA
Ekaj,2015,None,Jake Mestre,Scooter LaForge,Crime,7.8,USA,Nov-15
3 Generations,2015,Gaby Dellal,Naomi Watts,Elle Fanning,Drama,5.7,USA,29-Sep-16
Winning Favor,2012,Jamey Durham,Matthew Ashford,Bonnie Johnson,Family,4.8,USA,18-Sep-12
Broadway Danny Rose,1984,None,Woody Allen,Mia Farrow,Comedy,7.5,USA,27-Jan-84
Mean Girls,2004,Mark Waters,Lindsay Lohan,Jonathan Bennett,Comedy,7,USA,30-Apr-04
Little Men,2005,Vincent Vittorio,Devon Gearhart,Tyler Ross,Drama,8.1,USA,14-Feb-05
Meridian,2016,Jim Tshirt,Michael A. Adams,Nikki Bagozzi,Action,8.7,USA,3-Feb-16
24 Hours in Las Vegas,2011,None,Trinh Dang,Raushan Hammond,Action,5.6,USA,1-Oct-11
The Boys of Ghost Town,2009,Pablo Veliz,Stephanie Acosta,Nova Aragon,Crime,5.4,USA,21-Apr-09
Shining Water,2007,Arik Alon,Dougal Porteous,Becky Willard,Horror,7,USA,2008
Cody the Robosapien,2013,Sean McNamara,Kim Coates,Penelope Ann Miller,Adventure,4.8,USA,28-May-13
Handsome Harry,2009,Bette Gordon,Jamey Sheridan,Steve Buscemi,Drama,6.1,USA,6-Dec-10
American Son,2008,Neil Abramson,Nick Cannon,Matt Sigloch,Drama,5.6,USA,19-Jan-08
You're in Charge,2013,Tom Krueger,Alex Aristidis,Kara Guarisco,Comedy,6.1,USA,Oct-13
No Tell Motel,1990,Henri Pachard,Jerry Butler,Marc Wallice,Adult,6.9,USA,NA
Attack of the Killer Tomatoes!,1978,John De Bello,David Miller,George Wilson,Adventure,4.6,USA,8-Oct-78
The Bulls' Night Out,2000,Lindley Farley,Shane Barbanel,Michael A. Calderone,Drama,6.3,USA,7-Sep-00
Susan's Plan,1998,John Landis,Nastassja Kinski,Billy Zane,Comedy,5.3,USA,28-Jul-99
In Between Engagements,2014,Dominik Sedlar,Armand Assante,Todd W. Edwards,Comedy,8.5,USA,2014
One Small Hitch,2013,John Burgess,Shane McRae,Aubrey Dollar,Comedy,6.6,USA,14-Feb-15
Rat Pfink a Boo Boo,1966,Ray Dennis Steckler,Carolyn Brandt,Ron Haydock,Action,3.6,USA,Sep-66
29000 Wishes. 1 Regret.,2012,Oliver Robins,Justus Zimmerman,Casey Ruggieri,Drama,7.3,USA,NA
Monster,2018,Anthony Mandler,Jennifer Ehle,Jeffrey Wright,Drama,7.5,USA,22-Jan-18
The Horror Pages,2012,Jared Skolnick,Michael Bilinski,Brian Greenzang,Horror,7.3,USA,30-Jul-12
Slug Street Scrappers: Goodbye Goddess,2014,None,Katelyn Brooke,Tess Kielhamer,Action,7.9,USA,18-Jul-14
Nikita Blues,2001,Marc Cayce,Eddy Rubin,William L. Johnson,Drama,5.8,USA,1-Feb-01
If Looks Could Kill,1991,William Dear,Richard Grieco,Linda Hunt,Action,5.7,USA,15-Mar-91
Dreadlocks Story,2014,Linda AÃ¯nouche,HÃ©lÃ¨ne Lee,HÃ©lÃ¨ne Lee,Documentary,7.9,USA,Nov-14
Swing Kids,1993,Thomas Carter,Robert Sean Leonard,Christian Bale,Drama,6.8,USA,5-Mar-93
Outpatient,2002,Alec Carlin,Justin Kirk,Catherine Kellner,Drama,6.1,USA,14-Oct-02
Crimson Tide,1995,Tony Scott,Gene Hackman,Denzel Washington,Action,7.3,USA,12-May-95
Bone Cave,2011,Matthew Brooks,Justin Rose,Jeremy Jusek,Horror,3.7,USA,6-Mar-11
The Legend of Zelda: The Hero of Time,2009,Joel Musch,David Blane,Hannah Fierman,Action,4.7,USA,14-Dec-09
Wizards of the Lost Kingdom II,1989,Charles B. Griffith,Mel Welles,Robert Jayne,Action,1.8,USA,Mar-89
Burning Bright,2010,Carlos Brooks,Briana Evigan,Charlie Tahan,Drama,5.9,USA,2-May-12
Yeah Vous!,1998,None,Allen Barton,LÃ©onore Chaix,Comedy,4.2,USA,4-Oct-98
Men of Respect,1990,William Reilly,John Turturro,Katherine Borowitz,Crime,5.3,USA,18-Jan-91
Free Ride,1986,Tom Trbovich,Gary Hershberger,Reed Rudy,Comedy,5.3,USA,17-Jan-86
Ecstasy Girls II,1985,Gary Graver,Kari Foxx,Tish Ambrose,Adult,6.7,USA,1985
Breaking the Rules,1992,Neal Israel,Shawn Phelan,Jackey Vinson,Comedy,5.7,USA,9-Oct-92
24-Dec,2008,Anthony Colliano,Scot Davis,Tiffany Shepis,Horror,6.5,USA,2011
Prometheus Bound,2002,Wic Coleman,Jon Jacobs,J.C. Brandy,Drama,5.2,USA,15-Nov-02
The Grover Complex,2010,None,Fernando Noor,Heather Tocquigny,Comedy,8.2,USA,5-Jan-16
Jack Everyman,2006,None,Sean K. Thompson,Samantha Walker,Comedy,5.8,USA,26-Mar-06
Two of a Kind,1983,John Herzfeld,John Travolta,Olivia Newton-John,Comedy,4.8,USA,16-Dec-83
The Landlord,2009,Emil Hyde,Ezekiel Brown,John Brown,Comedy,4.7,USA,1-Jun-09
The Man from Button Willow,1965,David Detiege,Dale Robertson,Edgar Buchanan,Adventure,6.1,USA,3-Apr-65
Zompyres: Texas,2010,Jordan Funderburk,Stefan Beck,Chase Burnett,Action,3.4,USA,13-Aug-10
San Francisco Ball,1971,Jack Genero,Vince Jaffe,Joni Piro,Crime,6.4,USA,NA
Ornaments,2008,Brian Samuel Davis,Kelly May,Chad Olson,Comedy,3.7,USA,2-Dec-08
Heart Throbs,1985,Bill Milling,Tess Ferre,Susan Hart,Adult,5.8,USA,1-Aug-88
Cabin Fever,2002,Eli Roth,Jordan Ladd,Rider Strong,Horror,5.6,USA,12-Sep-03
The Haunting of Whaley House,2012,Jose Prendes,Alex Arleo,Arielle Brachfeld,Horror,3.9,USA,31-Jul-12
The Business of Fancydancing,2002,None,Evan Adams,Michelle St. John,Drama,6.9,USA,14-Jan-02
Ugly Benny,2014,Richard Brandes,Timothy Oman,Karen Tarleton,Family,5.3,USA,30-Jun-14
Frankenstein: Day of the Beast,2011,Ricardo Islas,Michelle Shields,Tim Krueger,Horror,3.7,USA,27-Nov-11
Initiation,2016,Oren Benamor,Adam Ryan Rennie,Dan Horton,Thriller,4.9,USA,2016
Road to the Open,2014,Cole Claassen,Troy McKay,Phillip DeVona,Comedy,6.8,USA,28-Mar-14
Feedback,1978,None,Bill Doukas,Jack Adalist,Mystery,7.8,USA,NA
"Wax, or the Discovery of Television Among the Bees",1991,None,David Blair,William S. Burroughs,Documentary,7.1,USA,21-Oct-91
51,2011,Jason Connery,Tammi Arender,Randy Austin,Horror,3.5,USA,28-Jul-11
Remember the Titans,2000,Boaz Yakin,Denzel Washington,Will Patton,Biography,7.8,USA,29-Sep-00
End of Fall,2017,Joselito Seldera,Blaise Miller,Kyle Sing,Crime,7.1,USA,21-Mar-17
Echo,2008,Mark Cantu,Jennifer Ayala,Dru Barcus,Horror,5,USA,2-Aug-08
Day of Days,2017,None,Tom Skerritt,Claudia Zevallos,Drama,5.1,USA,15-Aug-17
Undercover Blues,1993,Herbert Ross,Kathleen Turner,Dennis Quaid,Comedy,6,USA,10-Sep-93
Uptown Girls,2003,Boaz Yakin,Brittany Murphy,Dakota Fanning,Comedy,6.1,USA,15-Aug-03
Too Much,1987,Ã‰ric Rochat,Masato Fukazama,Bridgette Andersen,Comedy,5.6,USA,Jun-87
Shamelove,2006,None,Natalie Avital,Kristian Capalik,Drama,8,USA,7-Jun-06
Police Academy 5: Assignment: Miami Beach,1988,Alan Myerson,Bubba Smith,David Graf,Comedy,4.4,USA,18-Mar-88
Janie,1970,Jack Bravman,William Savage,Berla L. Moke,Horror,6,USA,NA
Warlock,1989,Steve Miner,Julian Sands,Lori Singer,Action,6.2,USA,11-Jan-91
Getting In,1994,Doug Liman,Stephen Mailer,Grahame Wood,Comedy,5.7,USA,7-Dec-94
MisBehavin',1978,Chuck Vincent,Molly Malone,Sonny Landham,Adult,7.4,USA,1978
The Galapagos Affair: Satan Came to Eden,2013,Dayna Goldfine,Cate Blanchett,Sebastian Koch,Biography,6.8,USA,25-Jul-14
Diamond Zero,2005,Annelie Wilder,Bronson Pinchot,Tippi Hedren,Action,5.2,USA,24-May-05
Jinn,2014,Ajmal Zaheer Ahmad,Dominic Rains,Ray Park,Thriller,4.2,USA,14-Apr-14
Private Property,1960,None,Jules Maitland,Kate Manx,Crime,6.8,USA,24-Apr-60
Bear with Us,2016,William J. Stribling,Lea DeLaria,Christy Carlson Romano,Comedy,7.7,USA,15-Aug-17
Penguins of Madagascar,2014,Simon J. Smith,Tom McGrath,Chris Miller,Adventure,6.7,USA,26-Nov-14
Little Murders,1971,Alan Arkin,Elliott Gould,Marcia Rodd,Comedy,7.1,USA,9-Feb-71
Picasso Trigger,1988,Andy Sidaris,Steve Bond,Dona Speir,Action,4.4,USA,Feb-88
"Other Voices, Other Rooms",1995,David Rocksavage,Lothaire Bluteau,Anna Levine,Drama,6.4,USA,5-Dec-97
Raspberry Heaven,2004,David Oas,Alicia Lagano,Morgan Spector,Drama,6.7,USA,10-Sep-04
What Now,2015,None,Ash Avildsen,Joseph Cassiere,Comedy,4.7,USA,3-Apr-15
Robinson Crusoe on Mars,1964,Byron Haskin,Paul Mantee,Victor Lundin,Adventure,6.6,USA,Jun-64
Desolation,2017,David Moscow,Raymond J. Barry,Dominik GarcÃ­a-Lorido,Thriller,5.8,USA,26-Jan-18
Cyber-C.H.I.C.,1990,Jeffrey Mandel,Kathy Shower,Jennifer Daly,Action,2.3,USA,9-Aug-90
Pleasure Spots,1972,Nick Millard,Bob Silvani,Jane Tsentas,Adult,5.1,USA,1972
Red Victoria,2008,None,Mary Ann McCarty,Tony Brownrigg,Comedy,4.6,USA,1-Mar-08
Terror Toons 3,2015,Joe Castro,Beverly Lynne,Lizzy Borden,Comedy,4.8,USA,26-Aug-16
Mp2v,2012,Rob Medaska,Thomas Brigman,Jackie Denieff,Horror,5.8,USA,31-Jul-12
The Last Winter,2006,Larry Fessenden,Ron Perlman,James Le Gros,Horror,5.6,USA,24-Sep-08
SPF-18,2017,Alex Israel,Carson Meyer,Noah Centineo,Romance,3.4,USA,29-Sep-17
Not Another Not Another Movie,2011,David Murphy,David Leo Schultz,Ellie Gerber,Comedy,2.7,USA,2011
Goldfish,2006,Jennifer Hsia,Michelle Ho,Chun-hao Tuan,Comedy,6.2,USA,NA
The Amazing Floydini,2004,Brent Sterling Nemetz,Andrea Barnes,Gabriel Barre,Comedy,7,USA,1-Jun-04
Awake,2007,Joby Harold,Hayden Christensen,Jessica Alba,Crime,6.5,USA,30-Nov-07
Manifesto,2015,Joshua Crone,Gabriel Miller,Varda Appleton,Drama,3.6,USA,NA
Here & Now,2010,Dean Matthew Ronalds,Judd Nelson,Traci Lords,Comedy,6.3,USA,2010
Voyeur,1997,Gil Rosenblum,Carmen Amberg,Dominique Harris,Mystery,6.7,USA,NA
Saturday Night Beaver,1986,Patti Rhodes-Lincoln,Tiffany Blake,Caroline Connelly,Adult,5.2,USA,NA
Lady Samurai,2007,Adrian DeLude,Kimberly Arland,Hallie Beaune,Action,4.7,USA,NA
Dangerous Curves,2000,Jeremiah Cullinane,Robert Carradine,Maxine Bahns,Crime,4.5,USA,14-Mar-00
Under the Rainbow,1981,Steve Rash,Chevy Chase,Carrie Fisher,Comedy,5.4,USA,31-Jul-81
Messiah Complex,2009,Hale Mednik,Don Bellairs,Lola Tatlyan,Comedy,8.3,USA,20-Apr-11
Evil Town,1977,Mohammed Rustam,James Keach,Dean Jagger,Horror,3.6,USA,1977
Blood Brothers,2015,Jose Prendes,Graham Denman,Hannah Levien,Drama,3.6,USA,3-Oct-15
Past Perfect,2007,Mike Uster,Richard Cutting,Aidan Hughes,Drama,4.9,USA,2007
The Girl on the Train,2013,Larry Brand,Henry Ian Cusick,Nicki Aycox,Thriller,4.3,USA,25-Feb-16
Chameleon,1995,Michael Pavone,Anthony LaPaglia,Kevin Pollak,Thriller,6.1,USA,26-Mar-96
American Infidel,2013,None,Pamela Geller,Eric Allen Bell,Documentary,8.2,USA,1-Apr-13
Dirt Merchant,1999,B.J. Nelson,Danny Masterson,David Faustino,Comedy,4.6,USA,16-Sep-99
A Four Course Meal,2006,None,Laura Bailey,Amber Bordelon,Horror,7.8,USA,23-Apr-06
To Be Friends,2010,James Lawrence Eckhart,Joelle Carter,Todd Stashwick,Drama,5,USA,NA
Diary of a Badman,2016,Diemiruaye Deniran,Jacinth Headlam,Douglas A. Robbs,Crime,8.4,USA,Sep-16
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,None,Sacha Baron Cohen,Ken Davitian,Comedy,7.3,USA,3-Nov-06
The Best Thanksgiving Ever,2017,J.D. Shapiro,Jay Seals,David Paulus,Comedy,9.3,USA,2017
The Student Teachers,1973,Jonathan Kaplan,Susan Damante,Brooke Mills,Comedy,5.2,USA,31-May-73
Lily Grace: A Witch Story,2015,Wes Miller,Scott Seegmiller,James Palmer,Thriller,3.1,USA,3-Nov-15
Who Shaved Aja?,1989,Scotty Fox,Mike Horner,Jon Martin,Adult,6.3,USA,NA
The Dark Side of the Moon,1990,D.J. Webster,Robert Sampson,Will Bledsoe,Action,5.1,USA,30-May-90
My Brother's War,2005,None,Dana Bennison,Rebecca Damon,Drama,6,USA,1-Sep-05
Not Like Us,1995,Dave Payne,Joanna Pacula,Peter Onorati,Horror,4.4,USA,15-Aug-95
Midsummer Nightmares II: Summer's End,2014,Ryan Stacy,Kelci C. Magel,Erin R. Ryan,Horror,6.4,USA,1-Mar-14
Shanghai Knights,2003,David Dobkin,Jackie Chan,Owen Wilson,Action,6.2,USA,7-Feb-03
The Garage Hoppers,2011,None,Brian Morris,Drew Morris,Adventure,8.2,USA,2011
Elephant Kingdom,2016,Melanie Simka,Cary Elwes,Alexa PenaVega,Adventure,4,USA,20-Sep-16
Dracula Reborn,2015,Attila Luca,Tina Balthazar,Yves Carlevaris,Horror,1.9,USA,18-May-15
Ciao,2008,Yen Tan,Chuck Blaum,Adam Neal Smith,Drama,6.4,USA,30-Mar-08
Bang,1995,Ash Baron-Cohen,Darling Narita,Peter Greene,Crime,6.4,USA,Nov-97
Virginia,1983,John Seeman,Lili Marlene,Jeff Lyle,Adult,6.2,USA,1983
Harry and Walter Go to New York,1976,Mark Rydell,James Caan,Elliott Gould,Comedy,5.4,USA,19-Aug-76
Dead Rising: Watchtower,2015,Zach Lipovsky,Jesse Metcalfe,Meghan Ory,Action,5.2,USA,27-Mar-15
Heavy Times,2010,Ryan McKenna,Jay Brunner,Melina Chadbourne,Comedy,4.8,USA,2-Aug-11
Alpha and Omega,2010,Ben Gluck,Hayden Panettiere,Christina Ricci,Adventure,5.3,USA,17-Sep-10
Laughing Dead,1998,None,Patrick Gleason,Nancy Rhee,Horror,5.2,USA,17-Jul-98
Buddies,2011,Judith Plank,Richard Ryan,Dylan Nelson,Drama,2.7,USA,2-Oct-11
Sunset Rock,2016,None,Andrew Nowak,Megan Baim,Drama,8,USA,1-Feb-16
Beauty School,1993,Ernest G. Sauer,Elaina Beasty,Lisa Madison,Comedy,4.3,USA,14-Jul-93
The World Within,2010,Chris Mancuso,Dennis Albanese,Brian J. Cano,Documentary,6.8,USA,2-Sep-10
Sensored,2009,Ryan Todd,Robert Picardo,Sarah Knowlton,Drama,4.9,USA,2009
Trust the Man,2005,Bart Freundlich,David Duchovny,Julianne Moore,Comedy,5.7,USA,1-Sep-06
Miles Away,2015,Jimmy Jenkins,Spoon Alexander,Salvador Alvarez,Drama,7.8,USA,8-May-15
Maze,2000,None,Rob Morrow,Laura Linney,Drama,6.6,USA,10-Oct-00
Valentine's Day,2010,Garry Marshall,Julia Roberts,Jamie Foxx,Comedy,5.7,USA,12-Feb-10
Satan's Little Helper,2004,Jeff Lieberman,Alexander Brickel,Katheryn Winnick,Comedy,5.3,USA,6-May-04
Central Intelligence,2016,Rawson Marshall Thurber,Dwayne Johnson,Kevin Hart,Action,6.3,USA,17-Jun-16
Gender Bender,2016,None,Richard Lampone,Joey Kola,Comedy,5,USA,1-Oct-16
The Magic of Christmas II,2010,Mamie Jean Calvert,Tamara Chandler,Jason Scott Feilzer,Family,7.6,USA,1-Dec-10
Frankenstein Meets the Spacemonster,1965,Robert Gaffney,Marilyn Hanold,James Karen,Horror,3.4,USA,22-Sep-65
The Prince and Me,2004,Martha Coolidge,Julia Stiles,Luke Mably,Comedy,5.9,USA,2-Apr-04
Love Me Anyway,2014,None,Daniel Armando,Dee Herlihy,Drama,5.2,USA,NA
Cat City,2008,Brent Huff,Rebecca Pidgeon,Julian Sands,Drama,5.1,USA,20-Jun-08
Alien Trespass,2009,R.W. Goodwin,Eric McCormack,Jenni Baird,Comedy,5.7,USA,Jan-09
PrimalRap,2008,Bron Theron,Zack Arnett,Christian Brooker,Comedy,8,USA,15-Nov-08
Raising Cain,1992,Brian De Palma,John Lithgow,Lolita Davidovich,Crime,6,USA,7-Aug-92
Urania Descending,2016,Tav Falco,Gustavo Falco,Via Kali,Drama,6,USA,21-Jan-16
Some Kind of Hate,2015,Adam Egypt Mortimer,Andrew Bryniarski,Justin Prentice,Horror,4.5,USA,18-Sep-15
Something Weird,1967,Herschell Gordon Lewis,Tony McCabe,Elizabeth Lee,Fantasy,5.3,USA,Aug-67
8 Mile,2002,Curtis Hanson,Eminem,Brittany Murphy,Drama,7.1,USA,8-Nov-02
Gordy,1995,Mark Lewis,Kristy Young,Doug Stone,Comedy,3.9,USA,12-May-95
Dark Shade Creek 3: Trail to Hell,2017,David Mankey,Marshall Kuhn,Jade Michael LaFont,Horror,3.1,USA,1-Sep-17
The Prime Ministers: The Pioneers,2013,Richard Trank,Sandra Bullock,Robert Cait,Documentary,6.5,USA,18-Oct-13
"Have Love, Will Travel",2007,Daniel Peterson,Chauntae Davies,Chandler Rylko,Drama,7.1,USA,10-Jun-07
Deadly Exposure,1993,Lawrence Mortorff,Robby Benson,Laura Johnson,Thriller,4,USA,6-Oct-93
And All Through the House,2011,Ron McLellen,Roland Force,Dave R. Watkins,Horror,5.8,USA,15-Sep-11
Bowfinger,1999,Frank Oz,Steve Martin,Eddie Murphy,Comedy,6.4,USA,13-Aug-99
